movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
520890,Марс и Апрель,6.659,92,158.0,2012,5.9,444.0,"[фантастика, драма]",[Канада],CAD 2 250 000,,Mars et Avril
5209,Все маленькие животные,7.283,112,992.0,1998,7.1,2219.0,"[триллер, драма, приключения]",[Великобритания],£3 500 000,64.0,All the Little Animals
520943,Сестра Моцарта,6.958,120,262.0,2010,6.3,1127.0,"[драма, мелодрама, биография, музыка]",[Франция],$4 500 000,,"Nannerl, la soeur de Mozart"
520946,Дом забытых вещей,4.277,103,633.0,2013,6.3,4125.0,"[фэнтези, триллер]",[США],,,House of Last Things
521,"Носферату, симфония ужаса",7.771,94,6722.0,1922,8.0,66603.0,[ужасы],[Германия],,97.0,"Nosferatu, eine Symphonie des Grauens"
5210,Бархатная золотая жила,7.197,118,6621.0,1998,7.0,26250.0,"[драма, музыка]","[Великобритания, США]",,56.0,Velvet Goldmine
521043,План Зет,5.11,53,115.0,2010,4.7,267.0,"[аниме, мультфильм, фантастика, боевик]",[Япония],,,Puranzetto
5211,Метролэнд,6.943,101,662.0,1997,6.4,2779.0,[драма],"[Испания, Франция, Великобритания]",,64.0,Metroland
521118,Отважные,7.368,129,934.0,2011,7.0,13637.0,[драма],[США],$2 000 000,30.0,Courageous
52115,Суперполицейские из Майами,6.912,96,220.0,1985,6.2,3882.0,"[боевик, комедия, криминал]",[Италия],,,Miami Supercops
52118,Призрак свободы,7.805,103,1478.0,1974,8.0,9853.0,"[драма, комедия]","[Италия, Франция]",,88.0,Le fantôme de la liberté
521187,Неудержимые викинги,3.968,89,135.0,2010,5.2,203.0,[комедия],[Швеция],,,Sweaty Beards
5212,Портрет леди,6.466,144,968.0,1996,6.3,8588.0,"[драма, мелодрама]","[Великобритания, США]",,43.0,The Portrait of a Lady
5213,Покахонтас,7.781,84,32046.0,1995,6.6,108805.0,"[мультфильм, мюзикл, драма, мелодрама, приключения, семейный, история]",[США],$55 000 000,56.0,Pocahontas
52134,Стимбой,7.101,126,2108.0,2004,6.9,12913.0,"[аниме, мультфильм, фантастика, боевик, триллер, приключения]",[Япония],$22 000 000,60.0,Suchîmubôi
52136,Кво Вадис,7.801,134,1640.0,2001,5.8,1502.0,[драма],"[Польша, США]",$18 000 000,,Quo Vadis
521376,Сумеречная сеть,4.858,91,269.0,2009,4.8,419.0,"[ужасы, фантастика, триллер]",[Великобритания],,,Beacon77
521380,Крестовые походы (ТВ),4.376,88,231.0,2010,3.6,708.0,"[ужасы, фантастика, фэнтези]",[США],,,Dark Relic
5214,Продавцы новостей,7.179,121,505.0,1992,6.9,15032.0,"[мюзикл, драма]",[США],$15 000 000,40.0,Newsies
521404,Отставник 2 (ТВ),6.298,89,414.0,2010,,,[боевик],[Россия],,,
521410,Ветеран,6.275,98,902.0,2011,5.9,6155.0,"[боевик, триллер]",[Великобритания],£4 000 000,60.0,The Veteran
521411,Десант есть десант (сериал),6.165,47,179.0,2010,,,"[боевик, детектив]",[Россия],,,
521419,Адская гонка (видео),4.048,94,421.0,2009,4.2,907.0,"[ужасы, боевик]",[США],,,Hard Ride to Hell
521421,"Дурак, тест и призванные существа (сериал 2010 – 2011)",6.988,25,477.0,2010,7.5,439.0,"[аниме, мультфильм, фэнтези, мелодрама, комедия]",[Япония],,,Baka to tesuto to shoukanjuu
521432,Солдаты 10 (сериал),4.714,44,1890.0,2006,,,"[комедия, военный]",[Россия],,,
